host_id,initial_size,compressed_size,compression_ratio,compression_method,timeframe
12,3097537,1214971,2.549474e+00,deflate,2,120
13,3098568,1215794,2.548596e+00,deflate,2,120
14,3097396,1215531,2.548183e+00,deflate,2,120
15,3098477,1215348,2.549457e+00,deflate,2,120
16,3099451,1216370,2.548115e+00,deflate,2,120
17,3098734,1216885,2.546448e+00,deflate,2,120
18,3097347,1216833,2.545417e+00,deflate,2,120
19,3097796,1216067,2.547389e+00,deflate,2,120
20,3100360,1216427,2.548743e+00,deflate,2,120
21,3096083,1214850,2.548531e+00,deflate,2,120
22,3097446,1215680,2.547912e+00,deflate,2,120
23,3097072,1214831,2.549385e+00,deflate,2,120
24,3095899,1213735,2.550721e+00,deflate,2,120
25,3096017,1213675,2.550944e+00,deflate,2,120
26,3096250,1214670,2.549046e+00,deflate,2,120
27,3097895,1215403,2.548862e+00,deflate,2,120
28,3094585,1214051,2.548974e+00,deflate,2,120
29,3098097,1216231,2.547293e+00,deflate,2,120
30,3096956,1215422,2.548050e+00,deflate,2,120
31,3096007,1214296,2.549631e+00,deflate,2,120
32,3099340,1215751,2.549321e+00,deflate,2,120
33,3096205,1214418,2.549538e+00,deflate,2,120
34,3099834,1217056,2.546994e+00,deflate,2,120
35,3096105,1213377,2.551643e+00,deflate,2,120
36,3095971,1214549,2.549070e+00,deflate,2,120
37,3095563,1214435,2.548974e+00,deflate,2,120
38,3094190,1211588,2.553830e+00,deflate,2,120
39,3100170,1215388,2.550766e+00,deflate,2,120
40,3100504,1216500,2.548709e+00,deflate,2,120
41,3094509,1213412,2.550254e+00,deflate,2,120
42,3100529,1216218,2.549320e+00,deflate,2,120
43,3096858,1216145,2.546455e+00,deflate,2,120
44,3097570,1215017,2.549405e+00,deflate,2,120
45,3095904,1214385,2.549360e+00,deflate,2,120
46,3096196,1214264,2.549854e+00,deflate,2,120
47,3094983,1213857,2.549710e+00,deflate,2,120
48,3095689,1214929,2.548041e+00,deflate,2,120
49,3097974,1215558,2.548602e+00,deflate,2,120
0,3098184,1215897,2.548065e+00,deflate,4,240
1,3096715,1213958,2.550924e+00,deflate,4,240
2,3097756,1215455,2.548639e+00,deflate,4,240
3,3100468,1217358,2.546883e+00,deflate,4,240
4,3096679,1214742,2.549248e+00,deflate,4,240
5,3099905,1218167,2.544729e+00,deflate,4,240
6,3096621,1214972,2.548718e+00,deflate,4,240
7,3097080,1215167,2.548687e+00,deflate,4,240
8,3094040,1213237,2.550235e+00,deflate,4,240
9,3098128,1215018,2.549862e+00,deflate,4,240
10,3097741,1215260,2.549036e+00,deflate,4,240
11,3095888,1213873,2.550422e+00,deflate,4,240
12,3097537,1214971,2.549474e+00,deflate,4,240
13,3098568,1215794,2.548596e+00,deflate,4,240
14,3097396,1215531,2.548183e+00,deflate,4,240
15,3098477,1215348,2.549457e+00,deflate,4,240
16,3099451,1216370,2.548115e+00,deflate,4,240
17,3098734,1216885,2.546448e+00,deflate,4,240
18,3097347,1216833,2.545417e+00,deflate,4,240
19,3097796,1216067,2.547389e+00,deflate,4,240
20,3100360,1216427,2.548743e+00,deflate,4,240
21,3096083,1214850,2.548531e+00,deflate,4,240
22,3097446,1215680,2.547912e+00,deflate,4,240
23,3097072,1214831,2.549385e+00,deflate,4,240
24,3095899,1213735,2.550721e+00,deflate,4,240
25,3096017,1213675,2.550944e+00,deflate,4,240
26,3096250,1214670,2.549046e+00,deflate,4,240
27,3097895,1215403,2.548862e+00,deflate,4,240
28,3094585,1214051,2.548974e+00,deflate,4,240
29,3098097,1216231,2.547293e+00,deflate,4,240
30,3096956,1215422,2.548050e+00,deflate,4,240
31,3096007,1214296,2.549631e+00,deflate,4,240
32,3099340,1215751,2.549321e+00,deflate,4,240
33,3096205,1214418,2.549538e+00,deflate,4,240
34,3099834,1217056,2.546994e+00,deflate,4,240
35,3096105,1213377,2.551643e+00,deflate,4,240
36,3095971,1214549,2.549070e+00,deflate,4,240
37,3095563,1214435,2.548974e+00,deflate,4,240
38,3094190,1211588,2.553830e+00,deflate,4,240
39,3100170,1215388,2.550766e+00,deflate,4,240
40,3100504,1216500,2.548709e+00,deflate,4,240
41,3094509,1213412,2.550254e+00,deflate,4,240
42,3100529,1216218,2.549320e+00,deflate,4,240
43,3096858,1216145,2.546455e+00,deflate,4,240
44,3097570,1215017,2.549405e+00,deflate,4,240
45,3095904,1214385,2.549360e+00,deflate,4,240
46,3096196,1214264,2.549854e+00,deflate,4,240
47,3094983,1213857,2.549710e+00,deflate,4,240
48,3095689,1214929,2.548041e+00,deflate,4,240
49,3097974,1215558,2.548602e+00,deflate,4,240
0,3098184,1215897,2.548065e+00,deflate,8,480
1,3096715,1213958,2.550924e+00,deflate,8,480
2,3097756,1215455,2.548639e+00,deflate,8,480
3,3100468,1217358,2.546883e+00,deflate,8,480
4,3096679,1214742,2.549248e+00,deflate,8,480
5,3099905,1218167,2.544729e+00,deflate,8,480
6,3096621,1214972,2.548718e+00,deflate,8,480
7,3097080,1215167,2.548687e+00,deflate,8,480
8,3094040,1213237,2.550235e+00,deflate,8,480
9,3098128,1215018,2.549862e+00,deflate,8,480
10,3097741,1215260,2.549036e+00,deflate,8,480
11,3095888,1213873,2.550422e+00,deflate,8,480
12,3097537,1214971,2.549474e+00,deflate,8,480
13,3098568,1215794,2.548596e+00,deflate,8,480
14,3097396,1215531,2.548183e+00,deflate,8,480
15,3098477,1215348,2.549457e+00,deflate,8,480
16,3099451,1216370,2.548115e+00,deflate,8,480
17,3098734,1216885,2.546448e+00,deflate,8,480
18,3097347,1216833,2.545417e+00,deflate,8,480
19,3097796,1216067,2.547389e+00,deflate,8,480
20,3100360,1216427,2.548743e+00,deflate,8,480
21,3096083,1214850,2.548531e+00,deflate,8,480
22,3097446,1215680,2.547912e+00,deflate,8,480
23,3097072,1214831,2.549385e+00,deflate,8,480
24,3095899,1213735,2.550721e+00,deflate,8,480
25,3096017,1213675,2.550944e+00,deflate,8,480
26,3096250,1214670,2.549046e+00,deflate,8,480
27,3097895,1215403,2.548862e+00,deflate,8,480
28,3094585,1214051,2.548974e+00,deflate,8,480
29,3098097,1216231,2.547293e+00,deflate,8,480
30,3096956,1215422,2.548050e+00,deflate,8,480
31,3096007,1214296,2.549631e+00,deflate,8,480
32,3099340,1215751,2.549321e+00,deflate,8,480
33,3096205,1214418,2.549538e+00,deflate,8,480
34,3099834,1217056,2.546994e+00,deflate,8,480
35,3096105,1213377,2.551643e+00,deflate,8,480
36,3095971,1214549,2.549070e+00,deflate,8,480
37,3095563,1214435,2.548974e+00,deflate,8,480
38,3094190,1211588,2.553830e+00,deflate,8,480
39,3100170,1215388,2.550766e+00,deflate,8,480
40,3100504,1216500,2.548709e+00,deflate,8,480
41,3094509,1213412,2.550254e+00,deflate,8,480
42,3100529,1216218,2.549320e+00,deflate,8,480
43,3096858,1216145,2.546455e+00,deflate,8,480
44,3097570,1215017,2.549405e+00,deflate,8,480
45,3095904,1214385,2.549360e+00,deflate,8,480
46,3096196,1214264,2.549854e+00,deflate,8,480
47,3094983,1213857,2.549710e+00,deflate,8,480
48,3095689,1214929,2.548041e+00,deflate,8,480
49,3097974,1215558,2.548602e+00,deflate,8,480
0,3098184,1215897,2.548065e+00,deflate,16,960
1,3096715,1213958,2.550924e+00,deflate,16,960
2,3097756,1215455,2.548639e+00,deflate,16,960
3,3100468,1217358,2.546883e+00,deflate,16,960
4,3096679,1214742,2.549248e+00,deflate,16,960
5,3099905,1218167,2.544729e+00,deflate,16,960
6,3096621,1214972,2.548718e+00,deflate,16,960
7,3097080,1215167,2.548687e+00,deflate,16,960
8,3094040,1213237,2.550235e+00,deflate,16,960
9,3098128,1215018,2.549862e+00,deflate,16,960
10,3097741,1215260,2.549036e+00,deflate,16,960
11,3095888,1213873,2.550422e+00,deflate,16,960
12,3097537,1214971,2.549474e+00,deflate,16,960
13,3098568,1215794,2.548596e+00,deflate,16,960
14,3097396,1215531,2.548183e+00,deflate,16,960
15,3098477,1215348,2.549457e+00,deflate,16,960
16,3099451,1216370,2.548115e+00,deflate,16,960
17,3098734,1216885,2.546448e+00,deflate,16,960
18,3097347,1216833,2.545417e+00,deflate,16,960
19,3097796,1216067,2.547389e+00,deflate,16,960
20,3100360,1216427,2.548743e+00,deflate,16,960
21,3096083,1214850,2.548531e+00,deflate,16,960
22,3097446,1215680,2.547912e+00,deflate,16,960
23,3097072,1214831,2.549385e+00,deflate,16,960
24,3095899,1213735,2.550721e+00,deflate,16,960
25,3096017,1213675,2.550944e+00,deflate,16,960
26,3096250,1214670,2.549046e+00,deflate,16,960
27,3097895,1215403,2.548862e+00,deflate,16,960
28,3094585,1214051,2.548974e+00,deflate,16,960
29,3098097,1216231,2.547293e+00,deflate,16,960
30,3096956,1215422,2.548050e+00,deflate,16,960
31,3096007,1214296,2.549631e+00,deflate,16,960
32,3099340,1215751,2.549321e+00,deflate,16,960
33,3096205,1214418,2.549538e+00,deflate,16,960
34,3099834,1217056,2.546994e+00,deflate,16,960
35,3096105,1213377,2.551643e+00,deflate,16,960
36,3095971,1214549,2.549070e+00,deflate,16,960
37,3095563,1214435,2.548974e+00,deflate,16,960
38,3094190,1211588,2.553830e+00,deflate,16,960
39,3100170,1215388,2.550766e+00,deflate,16,960
40,3100504,1216500,2.548709e+00,deflate,16,960
41,3094509,1213412,2.550254e+00,deflate,16,960
42,3100529,1216218,2.549320e+00,deflate,16,960
43,3096858,1216145,2.546455e+00,deflate,16,960
44,3097570,1215017,2.549405e+00,deflate,16,960
45,3095904,1214385,2.549360e+00,deflate,16,960
46,3096196,1214264,2.549854e+00,deflate,16,960
47,3094983,1213857,2.549710e+00,deflate,16,960
48,3095689,1214929,2.548041e+00,deflate,16,960
49,3097974,1215558,2.548602e+00,deflate,16,960
0,3098184,1215897,2.548065e+00,deflate,48,2880
1,3096715,1213958,2.550924e+00,deflate,48,2880
2,3097756,1215455,2.548639e+00,deflate,48,2880
3,3100468,1217358,2.546883e+00,deflate,48,2880
4,3096679,1214742,2.549248e+00,deflate,48,2880
5,3099905,1218167,2.544729e+00,deflate,48,2880
6,3096621,1214972,2.548718e+00,deflate,48,2880
7,3097080,1215167,2.548687e+00,deflate,48,2880
8,3094040,1213237,2.550235e+00,deflate,48,2880
9,3098128,1215018,2.549862e+00,deflate,48,2880
10,3097741,1215260,2.549036e+00,deflate,48,2880
11,3095888,1213873,2.550422e+00,deflate,48,2880
12,3097537,1214971,2.549474e+00,deflate,48,2880
13,3098568,1215794,2.548596e+00,deflate,48,2880
14,3097396,1215531,2.548183e+00,deflate,48,2880
15,3098477,1215348,2.549457e+00,deflate,48,2880
16,3099451,1216370,2.548115e+00,deflate,48,2880
17,3098734,1216885,2.546448e+00,deflate,48,2880
18,3097347,1216833,2.545417e+00,deflate,48,2880
19,3097796,1216067,2.547389e+00,deflate,48,2880
20,3100360,1216427,2.548743e+00,deflate,48,2880
21,3096083,1214850,2.548531e+00,deflate,48,2880
22,3097446,1215680,2.547912e+00,deflate,48,2880
23,3097072,1214831,2.549385e+00,deflate,48,2880
24,3095899,1213735,2.550721e+00,deflate,48,2880
25,3096017,1213675,2.550944e+00,deflate,48,2880
26,3096250,1214670,2.549046e+00,deflate,48,2880
27,3097895,1215403,2.548862e+00,deflate,48,2880
28,3094585,1214051,2.548974e+00,deflate,48,2880
29,3098097,1216231,2.547293e+00,deflate,48,2880
30,3096956,1215422,2.548050e+00,deflate,48,2880
31,3096007,1214296,2.549631e+00,deflate,48,2880
32,3099340,1215751,2.549321e+00,deflate,48,2880
33,3096205,1214418,2.549538e+00,deflate,48,2880
34,3099834,1217056,2.546994e+00,deflate,48,2880
35,3096105,1213377,2.551643e+00,deflate,48,2880
36,3095971,1214549,2.549070e+00,deflate,48,2880
37,3095563,1214435,2.548974e+00,deflate,48,2880
38,3094190,1211588,2.553830e+00,deflate,48,2880
39,3100170,1215388,2.550766e+00,deflate,48,2880
40,3100504,1216500,2.548709e+00,deflate,48,2880
41,3094509,1213412,2.550254e+00,deflate,48,2880
42,3100529,1216218,2.549320e+00,deflate,48,2880
43,3096858,1216145,2.546455e+00,deflate,48,2880
44,3097570,1215017,2.549405e+00,deflate,48,2880
45,3095904,1214385,2.549360e+00,deflate,48,2880
46,3096196,1214264,2.549854e+00,deflate,48,2880
47,3094983,1213857,2.549710e+00,deflate,48,2880
48,3095689,1214929,2.548041e+00,deflate,48,2880
49,3097974,1215558,2.548602e+00,deflate,48,2880
0,3098184,1549792,1.999097e+00,lz4,2,120
1,3096715,1547802,2.000718e+00,lz4,2,120
2,3097756,1549616,1.999048e+00,lz4,2,120
3,3100468,1551121,1.998856e+00,lz4,2,120
4,3096679,1548521,1.999766e+00,lz4,2,120
5,3099905,1552216,1.997084e+00,lz4,2,120
6,3096621,1548531,1.999715e+00,lz4,2,120
7,3097080,1549426,1.998856e+00,lz4,2,120
8,3094040,1546941,2.000102e+00,lz4,2,120
9,3098128,1549233,1.999782e+00,lz4,2,120
10,3097741,1548765,2.000136e+00,lz4,2,120
11,3095888,1547333,2.000790e+00,lz4,2,120
12,3097537,1548356,2.000533e+00,lz4,2,120
13,3098568,1550561,1.998353e+00,lz4,2,120
14,3097396,1549516,1.998944e+00,lz4,2,120
15,3098477,1549522,1.999634e+00,lz4,2,120
16,3099451,1550975,1.998389e+00,lz4,2,120
17,3098734,1551020,1.997868e+00,lz4,2,120
18,3097347,1550590,1.997528e+00,lz4,2,120
19,3097796,1550310,1.998178e+00,lz4,2,120
20,3100360,1551361,1.998477e+00,lz4,2,120
